Date,Site,Count,match,Year
2019-01-04,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-04,South Mountain-Mormon Trail,635.0,South Mountain,2019
2019-01-04,South Mountain-Pima Dirt Rd. ,943.0,South Mountain,2019
2019-01-04,South Mountain-Pima West Loop,720.0,South Mountain,2019
2019-01-04,South Mountain-Telegraph Pass Trail,273.0,South Mountain,2019
2019-01-05,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-05,E - Camelback - Echo Canyon Trail,1185.0,Echo Canyon Camelback Mountain,2019
2019-01-05,E - PMP - Piestewa Summit Trail,1299.0,Piestewa Peak,2019
2019-01-05,N - 25th St. and Acoma-Shadow Mtn N,44.0,Shadow Mountain,2019
2019-01-05,N - Deem Hills - East - 39th Ave TH,153.0,Deem Hills,2019
2019-01-05,N - Deem Hills - West - 51st Ave TH,213.0,Deem Hills,2019
2019-01-05,N - Lookout Mountain - 306 - North Side TH,605.0,Lookout Mountain,2019
2019-01-05,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-05,South Mountain- Desert Classic Trail,354.0,South Mountain,2019
2019-01-05,South Mountain-620 Trailhead,338.0,South Mountain,2019
2019-01-05,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-05,South Mountain-Holbert Trail,201.0,South Mountain,2019
2019-01-05,South Mountain-Judith Tunell Trail,157.0,South Mountain,2019
2019-01-05,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-05,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-05,South Mountain-Mormon Trail,1160.0,South Mountain,2019
2019-01-05,South Mountain-Pima Dirt Rd. ,1463.0,South Mountain,2019
2019-01-05,South Mountain-Pima West Loop,1008.0,South Mountain,2019
2019-01-05,South Mountain-Telegraph Pass Trail,341.0,South Mountain,2019
2019-01-06,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-06,E - Camelback - Echo Canyon Trail,581.0,Echo Canyon Camelback Mountain,2019
2019-01-06,E - PMP - Piestewa Summit Trail,717.0,Piestewa Peak,2019
2019-01-06,N - 25th St. and Acoma-Shadow Mtn N,37.0,Shadow Mountain,2019
2019-01-06,N - Deem Hills - East - 39th Ave TH,40.0,Deem Hills,2019
2019-01-06,N - Deem Hills - West - 51st Ave TH,85.0,Deem Hills,2019
2019-01-06,N - Lookout Mountain - 306 - North Side TH,309.0,Lookout Mountain,2019
2019-01-06,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-06,South Mountain- Desert Classic Trail,234.0,South Mountain,2019
2019-01-06,South Mountain-620 Trailhead,158.0,South Mountain,2019
2019-01-06,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-06,South Mountain-Holbert Trail,128.0,South Mountain,2019
2019-01-06,South Mountain-Judith Tunell Trail,90.0,South Mountain,2019
2019-01-06,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-06,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-06,South Mountain-Mormon Trail,502.0,South Mountain,2019
2019-01-06,South Mountain-Pima Dirt Rd. ,836.0,South Mountain,2019
2019-01-06,South Mountain-Pima West Loop,403.0,South Mountain,2019
2019-01-06,South Mountain-Telegraph Pass Trail,207.0,South Mountain,2019
2019-01-07,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-07,E - Camelback - Echo Canyon Trail,738.0,Echo Canyon Camelback Mountain,2019
2019-01-07,E - PMP - Piestewa Summit Trail,898.0,Piestewa Peak,2019
2019-01-07,N - 25th St. and Acoma-Shadow Mtn N,26.0,Shadow Mountain,2019
2019-01-07,N - Deem Hills - East - 39th Ave TH,,Deem Hills,2019
2019-01-07,N - Deem Hills - West - 51st Ave TH,,Deem Hills,2019
2019-01-07,N - Lookout Mountain - 306 - North Side TH,431.0,Lookout Mountain,2019
2019-01-07,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-07,South Mountain- Desert Classic Trail,288.0,South Mountain,2019
2019-01-07,South Mountain-620 Trailhead,141.0,South Mountain,2019
2019-01-07,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-07,South Mountain-Holbert Trail,86.0,South Mountain,2019
2019-01-07,South Mountain-Judith Tunell Trail,44.0,South Mountain,2019
2019-01-07,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-07,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-07,South Mountain-Mormon Trail,420.0,South Mountain,2019
2019-01-07,South Mountain-Pima Dirt Rd. ,712.0,South Mountain,2019
2019-01-07,South Mountain-Pima West Loop,431.0,South Mountain,2019
2019-01-07,South Mountain-Telegraph Pass Trail,228.0,South Mountain,2019
2019-01-08,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-08,E - Camelback - Echo Canyon Trail,827.0,Echo Canyon Camelback Mountain,2019
2019-01-08,E - PMP - Piestewa Summit Trail,881.0,Piestewa Peak,2019
2019-01-08,N - 25th St. and Acoma-Shadow Mtn N,36.0,Shadow Mountain,2019
2019-01-08,N - Deem Hills - East - 39th Ave TH,,Deem Hills,2019
2019-01-08,N - Deem Hills - West - 51st Ave TH,,Deem Hills,2019
2019-01-08,N - Lookout Mountain - 306 - North Side TH,479.0,Lookout Mountain,2019
2019-01-08,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-08,South Mountain- Desert Classic Trail,301.0,South Mountain,2019
2019-01-08,South Mountain-620 Trailhead,154.0,South Mountain,2019
2019-01-08,South Mountain-Hau'Pal,,South Mountain,2019
2019-01-08,South Mountain-Holbert Trail,86.0,South Mountain,2019
2019-01-08,South Mountain-Judith Tunell Trail,20.0,South Mountain,2019
2019-01-08,South Mountain-Kiwanis Trail ,,South Mountain,2019
2019-01-08,South Mountain-Ma-Ha-Tuak Perimeter,,South Mountain,2019
2019-01-08,South Mountain-Mormon Trail,389.0,South Mountain,2019
2019-01-08,South Mountain-Pima Dirt Rd. ,753.0,South Mountain,2019
2019-01-08,South Mountain-Pima West Loop,540.0,South Mountain,2019
2019-01-08,South Mountain-Telegraph Pass Trail,235.0,South Mountain,2019
2019-01-09,E - Camelback - Cholla Trail ,,Echo Canyon Camelback Mountain,2019
2019-01-09,E - Camelback - Echo Canyon Trail,826.0,Echo Canyon Camelback Mountain,2019
2019-01-09,E - PMP - Piestewa Summit Trail,890.0,Piestewa Peak,2019
2019-01-09,N - 25th St. and Acoma-Shadow Mtn N,44.0,Shadow Mountain,2019
2019-01-09,N - Deem Hills - East - 39th Ave TH,87.0,Deem Hills,2019
2019-01-09,N - Deem Hills - West - 51st Ave TH,112.0,Deem Hills,2019
2019-01-09,N - Lookout Mountain - 306 - North Side TH,385.0,Lookout Mountain,2019
2019-01-09,N - North Mountain - 44-Tower Road,0.0,North Mountain Shaw Butte,2019
2019-01-09,South Mountain- Desert Classic Trail,301.0,South Mountain,2019
2019-01-09,South Mountain-620 Trailhead,128.0,South Mountain,2019
